id,category,name,decimalMap,binaryMap
0,basic,all,255 255 255 255 255 255 255 255,11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
1,basic,clear,0 0 0 0 0 0 0 0,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
2,half,half top,255 255 255 255 0 0 0 0,11111111 11111111 11111111 11111111 00000000 00000000 00000000 00000000
3,half,half bottom,0 0 0 0 255 255 255 255,00000000 00000000 00000000 00000000 11111111 11111111 11111111 11111111
4,half,half left,15 15 15 15 15 15 15 15,11110000 11110000 11110000 11110000 11110000 11110000 11110000 11110000
5,half,half right,240 240 240 240 240 240 240 240,00001111 00001111 00001111 00001111 00001111 00001111 00001111 00001111
6,rows,row 0,,11111111 00000000 00000000 00000000 00000000 00000000 00000000 00000000
7,rows,row 1,,00000000 11111111 00000000 00000000 00000000 00000000 00000000 00000000
8,rows,row 2,,00000000 00000000 11111111 00000000 00000000 00000000 00000000 00000000
9,rows,row 3,,00000000 00000000 00000000 11111111 00000000 00000000 00000000 00000000
10,rows,row 4,,00000000 00000000 00000000 00000000 11111111 00000000 00000000 00000000
11,rows,row 5,,00000000 00000000 00000000 00000000 00000000 11111111 00000000 00000000
12,rows,row 6,,00000000 00000000 00000000 00000000 00000000 00000000 11111111 00000000
13,rows,row 7,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 11111111
14,cols,col 0,,"10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 "
15,cols,col 1,,"01000000 01000000 01000000 01000000 01000000 01000000 01000000 01000000 "
16,cols,col 2,,"00100000 00100000 00100000 00100000 00100000 00100000 00100000 00100000 "
17,cols,col 3,,"00010000 00010000 00010000 00010000 00010000 00010000 00010000 00010000 "
18,cols,col 4,,"00001000 00001000 00001000 00001000 00001000 00001000 00001000 00001000 "
19,cols,col 5,,"00000100 00000100 00000100 00000100 00000100 00000100 00000100 00000100 "
20,cols,col 6,,"00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 "
21,cols,col 7,,"00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 "
22,rows,rowSplit1,,11111111 00000000 11111111 00000000 11111111 00000000 11111111 00000000
23,rows,rowSplit2,,00000000 11111111 00000000 11111111 00000000 11111111 00000000 11111111
24,cols,colSplit1,,"10101010 10101010 10101010 10101010 10101010 10101010 10101010 10101010 "
